table,project,sponsors,link
???,Gain Guardian,"Booz Allen Hamilton's Best Internet of Things (IoT) Hack, BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!), Best Use of the SparkPost API, Northrop Grumman Best User Interface Utilizes Hardware and Software , OPIS Best Visualization of Hardware Collected Data, BookHolders Best App/Program Using Internet Sourced Data, Best Hack to Serve College Park ",http://bitcamp16.devpost.com/submissions/52396-gain-guardian
???,WhichBus,"BookHolders Best App/Program Using Internet Sourced Data, Best Hack to Serve College Park ",http://bitcamp16.devpost.com/submissions/52397-whichbus
???,Trip Saver,,http://bitcamp16.devpost.com/submissions/52398-trip-saver
???,Sprite Fight! (Bitcamp- Table 8),"Best Hack to Serve College Park , MLH Best Beginner Hack, #BestMicrosoftHack",http://bitcamp16.devpost.com/submissions/52399-sprite-fight-bitcamp-table-8
???,TopCurse,"MLH Best Developer Tool, MLH Best Beginner Hack",http://bitcamp16.devpost.com/submissions/52400-topcurse
???,Third Eye,,http://bitcamp16.devpost.com/submissions/52401-third-eye
40C,UMD Magnetic Stripe Research,Cipher Tech's Best Digital Forensics Related Hack,http://bitcamp16.devpost.com/submissions/52402-umd-magnetic-stripe-research
???,How is That Class,#BestMicrosoftHack,http://bitcamp16.devpost.com/submissions/52403-how-is-that-class
???,mezzopiano,"Booz Allen Hamilton's Best Internet of Things (IoT) Hack, BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!), Northrop Grumman Best User Interface Utilizes Hardware and Software , OPIS Best Visualization of Hardware Collected Data, FINRA Music Challenge",http://bitcamp16.devpost.com/submissions/52404-mezzopiano
???,AirPiano,"MLH Best Beginner Hack, FINRA Music Challenge",http://bitcamp16.devpost.com/submissions/52406-airpiano
???,Financial Chord Cadences - Table 26,FINRA Music Challenge,http://bitcamp16.devpost.com/submissions/52407-financial-chord-cadences-table-26
???,Karaoke Time,Math Works Best Hack Using MATLAB,http://bitcamp16.devpost.com/submissions/52408-karaoke-time
???,TuneN,"BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!), FINRA Music Challenge",http://bitcamp16.devpost.com/submissions/52409-tunen
???,teslaTune,FINRA Music Challenge,http://bitcamp16.devpost.com/submissions/52410-teslatune
???,SoWifi,,http://bitcamp16.devpost.com/submissions/52411-sowifi
???,MyoMusc,MLH Best Beginner Hack,http://bitcamp16.devpost.com/submissions/52412-myomusc
???,CapitalOneSimulator - No GUI,Best use of Capital One's API,http://bitcamp16.devpost.com/submissions/52413-capitalonesimulator-no-gui
45E,MonsterMatch,MLH Best Beginner Hack,http://bitcamp16.devpost.com/submissions/52414-monstermatch
???,Tonight,"Best Hack to Serve College Park , Booz Allen Hamilton's Best Internet of Things (IoT) Hack",http://bitcamp16.devpost.com/submissions/52415-tonight
???,TapJam,"#BestMicrosoftHack, FINRA Music Challenge",http://bitcamp16.devpost.com/submissions/52416-tapjam
???,Stock2Music,"Math Works Best Hack Using MATLAB, FINRA Music Challenge",http://bitcamp16.devpost.com/submissions/52417-stock2music
???,Kinect Interactive Music Interface,,http://bitcamp16.devpost.com/submissions/52418-kinect-interactive-music-interface
???,Smart Wallet,"Best use of Capital One's API, BookHolders Best App/Program Using Internet Sourced Data, Booz Allen Hamilton's Best Internet of Things (IoT) Hack",http://bitcamp16.devpost.com/submissions/52419-smart-wallet
???,Flow,Best Hack of the Credible API,http://bitcamp16.devpost.com/submissions/52420-flow
???,Youtube Playlist Search,MLH Best Beginner Hack,http://bitcamp16.devpost.com/submissions/52421-youtube-playlist-search
???,DJ Glove,"MLH Best Beginner Hack, BookHolders Longest Stack Name (Make your own stack, ex. RaspberryLinuxNginxMongoPythonFlask â€œRLNMPFâ€ù!), Northrop Grumman Best User Interface Utilizes Hardware and Software , OPIS Best Visualization of Hardware Collected Data, FINRA Music Challenge",http://bitcamp16.devpost.com/submissions/52422-dj-glove
???,knowgo,"Best Hack to Serve College Park , MLH Best Beginner Hack",http://bitcamp16.devpost.com/submissions/52423-knowgo
